canonical_url,story_label,topic
https://techledger.example/northwind-labs-releases-atlas-3-agent-model-with-128k-context-window,story_agent_benchmark,ai_models
https://wirefront.example/atlas-3-launch-northwind-claims-71-4-percent-on-agent-benchmark,story_agent_benchmark,ai_models
https://circuitdesk.example/developers-get-access-to-northwind-s-atlas-3-agent-model,story_agent_benchmark,ai_models
https://syndicatewire.example/northwind-labs-releases-atlas-3-agent-model-with-128k-context-window,story_agent_benchmark,ai_models
https://modelbeat.example/northwind-s-atlas-3-agent-benchmark-score-disputed-by-analysts,story_agent_benchmark,ai_models
https://policybench.example/eu-regulators-publish-draft-transparency-rules-for-general-purpose-ai-,story_eu_ai_rules,ai_safety
https://civicsignal.example/draft-eu-rules-would-force-ai-providers-to-publish-training-data-summa,story_eu_ai_rules,ai_safety
https://wirefront.example/industry-groups-push-back-on-eu-ai-transparency-consultation-timeline,story_eu_ai_rules,ai_safety
https://techledger.example/what-the-eu-s-draft-general-purpose-ai-rules-would-require,story_eu_ai_rules,ai_safety
https://chipwatch.example/meridian-semiconductor-to-build-4-2-billion-packaging-plant-in-arizona,story_chip_export,chips_and_compute
https://circuitdesk.example/meridian-confirms-arizona-advanced-packaging-site-1-800-jobs-promised,story_chip_export,chips_and_compute
https://marketfloor.example/meridian-s-arizona-packaging-plant-listed-at-3-8-billion-in-state-fili,story_chip_export,chips_and_compute
https://syndicatewire.example/meridian-semiconductor-to-build-4-2-billion-packaging-plant-in-arizona,story_chip_export,chips_and_compute
https://secureloop.example/researchers-disclose-prompt-injection-flaw-affecting-three-agent-frame,story_prompt_injection,ai_safety
https://modelbeat.example/agent-frameworks-patched-after-halden-prompt-injection-disclosure,story_prompt_injection,ai_safety
https://policybench.example/halden-disclosure-renews-debate-over-agent-tool-permissions,story_prompt_injection,ai_safety
https://marketfloor.example/grid-operator-warns-data-centre-demand-could-add-6-gigawatts-by-2030,story_datacenter_power,chips_and_compute
https://chipwatch.example/data-centre-growth-pushes-regional-grid-planners-toward-transmission-u,story_datacenter_power,chips_and_compute
https://modelbeat.example/kestrel-institute-publishes-open-weight-12b-model-under-a-research-lic,story_open_weights,ai_models
https://techledger.example/kestrel-s-12b-open-weight-release-comes-with-research-only-terms,story_open_weights,ai_models
https://wirefront.example/open-weight-model-releases-accelerate-as-kestrel-joins-with-12b-system,story_open_weights,ai_models
https://civicsignal.example/labour-board-opens-inquiry-into-automated-screening-at-three-employers,story_ai_hiring,ai_models
https://policybench.example/employers-defend-automated-screening-as-labour-board-inquiry-begins,story_ai_hiring,ai_models
https://civicsignal.example/vantara-systems-releases-aster-2-a-27b-parameter-model-for-document-an,bg_story_000,ai_models
https://silicondaily.example/systems-releases-aster-2-a-27b-parameter-model-for-document-analysis-v,bg_story_000,ai_models
https://syndicatewire.example/vantara-systems-releases-aster-2-a-27b-parameter-model-for-document-an,bg_story_000,ai_models
https://policybench.example/blue-harbor-ai-reports-10-security-findings-in-basalt-1-evaluation,bg_story_001,ai_safety
https://secureloop.example/harbor-ai-reports-10-security-findings-in-basalt-1-evaluation-blue-har,bg_story_001,ai_safety
https://civicsignal.example/what-blue-harbor-ai-announced-harbor-ai-reports-10-security-findings-i,bg_story_001,ai_safety
https://civicsignal.example/corvid-compute-commits-3-9-billion-to-northgate-fabrication-plant-expa,bg_story_002,chips_and_compute
https://gridnotes.example/compute-commits-3-9-billion-to-northgate-fabrication-plant-expansion-c,bg_story_002,chips_and_compute
https://wirefront.example/what-corvid-compute-announced-compute-commits-3-9-billion-to-northgate,bg_story_002,chips_and_compute
https://openweights.example/corvid-compute-compute-commits-3-9-billion-to-northgate-fabrication-pl,bg_story_002,chips_and_compute
https://secureloop.example/regulators-review-larkspur-robotics-s-1-7-billion-northgate-fabricatio,bg_story_003,chips_and_compute
https://policybench.example/review-larkspur-robotics-s-1-7-billion-northgate-fabrication-plant-agr,bg_story_003,chips_and_compute
